Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2013,CWHL,Lexie Hoffmeyer,D,Toronto Furies,23,1,3,4,33,1
2013,CWHL,Tessa Bonhomme,D,Toronto Furies,11,1,3,4,10,3
2013,CWHL,Noémie Marin,F,Montreal Stars,7,1,3,4,2,-2
2013,CWHL,Sara Dagenais,F,Montreal Stars,23,0,4,4,12,5
2013,CWHL,Becky Conroy,F,Brampton Thunder,22,0,4,4,12,-7
2013,CWHL,Mallory Johnston,D,Brampton Thunder,22,0,4,4,16,-18
2013,CWHL,Martine Garland,D,Toronto Furies,12,0,4,4,2,0
2013,CWHL,Emma Rambo,D,Boston Blades,22,2,1,3,8,-4
2013,CWHL,Stacie Tardif,D,Montreal Stars,17,2,1,3,10,8
2013,CWHL,Natalie Spooner,F,Toronto Furies,3,2,1,3,2,0
2013,CWHL,Erica Kromm,D/F,Calgary Inferno,24,1,2,3,16,-7
2013,CWHL,Jordanna Peroff,F,Toronto Furies,22,1,2,3,4,-2
2013,CWHL,Virginie Bouetz Andrieu,D,Montreal Stars,18,1,2,3,2,2
2013,CWHL,Kelly Hart,F,Brampton Thunder,8,1,2,3,2,-1
2013,CWHL,Kristen Marson,D,Toronto Furies,15,0,3,3,4,1
2013,CWHL,Caroline Ouellette,F,Montreal Stars,2,2,0,2,4,1
2013,CWHL,Emilie Bocchia,F,Montreal Stars,23,1,1,2,0,0
2013,CWHL,Andie LeDonne,D,Brampton Thunder,22,1,1,2,46,-11
2013,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,10,1,1,2,2,0
2013,CWHL,Kelli Stack,F,Boston Blades,2,1,1,2,4,0
2013,CWHL,Jacquie Pierri,D,Calgary Inferno,24,0,2,2,44,-3
2013,CWHL,Tara French,D,Brampton Thunder,22,1,0,1,34,-6
2013,CWHL,Shannon Mahoney,F,Boston Blades,18,1,0,1,6,-4
2013,CWHL,Lisa Mullan,F,Toronto Furies,13,1,0,1,6,-2
2013,CWHL,Karolina Urban,F,Calgary Inferno,24,0,1,1,24,-16
2013,CWHL,Dania Simmonds,D,Brampton Thunder,24,0,1,1,28,-13
2013,CWHL,Laurie Proulx-Duperré,D,Montreal Stars,23,0,1,1,0,0
2013,CWHL,Camille Dumais,F,Montreal Stars,20,0,1,1,10,-4
2013,CWHL,Bianca Zuber,F,Calgary Inferno,17,0,1,1,4,-2
2013,CWHL,Jessica O’Grady,F,Calgary Inferno,16,0,1,1,2,-4
2013,CWHL,Brooke Beazer,F,Toronto Furies,9,0,1,1,0,2
2013,CWHL,Lindsay Berman,D,Boston Blades,6,0,1,1,2,-2
2013,CWHL,Tara Gray,D,Brampton Thunder,18,0,0,0,30,-13
2013,CWHL,Anya Battaglino,D,Boston Blades,13,0,0,0,0,-2
2013,CWHL,Jennifer Laloi,???,Montreal Stars,13,0,0,0,0,-1
2013,CWHL,Kiira Dosdall,D,Boston Blades,11,0,0,0,8,9
2014,CWHL,Rebecca Johnston,F,Calgary Inferno,24,17,20,37,10,21
2014,CWHL,Brianna Decker,F,Boston Blades,12,16,16,32,10,25
2014,CWHL,Caroline Ouellette,F,Montreal Stars,22,8,18,26,18,4
2014,CWHL,Brittany Esposito,F,Calgary Inferno,24,10,15,25,8,10
2014,CWHL,Ann-Sophie Bettez,F,Montreal Stars,22,11,12,23,4,6
2014,CWHL,Hilary Knight,F,Boston Blades,13,8,14,22,4,23
2014,CWHL,Haley Irwin,F,Calgary Inferno,13,8,12,20,2,15
2014,CWHL,Tara Watchorn,D,Boston Blades,21,6,14,20,26,25
2014,CWHL,Jillian Dempsey,F,Boston Blades,22,9,10,19,2,17
2014,CWHL,Noémie Marin,F,Montreal Stars,18,13,5,18,2,-1
2014,CWHL,Monique Lamoureux-Morando,F,Boston Blades,17,6,12,18,23,20
2014,CWHL,Jessica Campbell,F,Calgary Inferno,21,12,5,17,4,8
2014,CWHL,Jenelle Kohanchuk,F,Toronto Furies,21,7,10,17,8,1
2014,CWHL,Cathy Chartrand,D,Montreal Stars,22,5,12,17,26,2
2014,CWHL,Julie Chu,F,Montreal Stars,20,2,15,17,12,2
2014,CWHL,Carolyne Prevost,F,Toronto Furies,24,9,7,16,0,-11
2014,CWHL,Jess Jones,F,Brampton Thunder,24,7,9,16,12,-13
2014,CWHL,Jordan Smelker,F,Boston Blades,22,8,7,15,6,17
2014,CWHL,Natalie Spooner,F,Toronto Furies,20,7,8,15,8,-3
2014,CWHL,Laura Fortino,D,Brampton Thunder,24,5,10,15,8,-19
2014,CWHL,Kim Deschenes,F,Montreal Stars,22,8,6,14,12,5
2014,CWHL,Jenna Cunningham,F,Calgary Inferno,24,6,8,14,8,4
2014,CWHL,Emmanuelle Blais,F,Montreal Stars,18,5,9,14,12,4
2014,CWHL,Bailey Bram,F,Calgary Inferno,24,4,10,14,16,-2
2014,CWHL,Sarah Davis,F,Calgary Inferno,24,7,6,13,16,6
2014,CWHL,Rhianna Kurio,F,Calgary Inferno,20,5,8,13,2,10
2014,CWHL,Jamie Lee Rattray,F,Brampton Thunder,22,4,9,13,37,-14
2014,CWHL,Blake Bolden,D,Boston Blades,22,3,10,13,22,8
2014,CWHL,Kelly Terry,F,Toronto Furies,16,3,10,13,6,-4
2014,CWHL,Jessica Wong,F,Calgary Inferno,24,2,11,13,14,7
2014,CWHL,Rachel Llanes,F,Boston Blades,22,6,5,11,6,4
2014,CWHL,Kacey Bellamy,D,Boston Blades,18,2,9,11,16,10
2014,CWHL,Megan Bozek,D,Toronto Furies,22,3,7,10,10,-11
2014,CWHL,Corinne Buie,F,Boston Blades,20,5,4,9,6,8
2014,CWHL,Jesse Scanzano,F,Brampton Thunder,20,4,5,9,40,-16
2014,CWHL,Danielle Stone,F,Calgary Inferno,22,3,6,9,2,4
